kind,first_text,first_strings,context,occurrences,bCs,bold,cs_bold,eastAsia,font,font_size,hint_cs,style,szCs
definition_normal,,,,0,False,,,True,,,False,DefaultParagraphFont,False
definition_normal,,,,0,False,,,False,,127000,False,s05,20
subject_small,,,,0,False,,,False,,,False,s15,False
definition_normal,,,,0,False,,,False,,,True,s03,20
definition_small,,,,0,False,,,False,,114300,False,s03,False
definition_normal,,,,0,False,,,False,,139700,True,s03,20
definition_normal,,,,0,False,,,False,,127000,True,s02,False
definition_normal,,,,0,0,True,False,False,,139700,True,s01,20
sub-subject_normal,,,,0,False,True,True,False,,139700,True,s03,20
source_small,,,,0,False,,,False,,101600,True,s05,16
subject_light,,,,0,False,,,False,,,False,s149,False
definition_small,,,,0,False,,,True,,,False,s05,False
definition_light,,,,0,False,,,False,,,False,s048,False
sub-subject_light,,,,0,False,,,False,,,False,s168,False
source_light,,,,0,False,,,False,,,False,s127,False
sub-subject_normal,,,,0,False,,,True,,,False,s11,False
definition_normal,,,,0,False,,,False,,152400,False,s02,False
source_small,,,,0,False,,,False,,101600,True,s02,16
sub-subject_small,,,,0,False,True,True,False,,,False,s03,False
definition_light,,,,0,False,,,False,,101600,False,s04,16
subject_normal,,,,0,False,True,True,False,,152400,True,s03,22
subject_light,,,,0,False,,,False,,114300,False,s14,False
definition_light,,,,0,False,,,False,,,True,s12,False
source_light,,,,0,False,,,False,,88900,True,s12,14
source_light,,,,0,False,,,False,,88900,False,s04,14
definition_normal,,,,0,0,True,False,False,,114300,True,s01,20
source_small,,,,0,False,,,False,,101600,True,DefaultParagraphFont,16
sub-subject_normal,,,,0,False,,,False,,114300,False,s15,False
definition_normal,,,,0,False,,,False,,139700,False,DefaultParagraphFont,False
source_light,,,,0,False,,,False,,,False,s12,14
source_small,,,,0,0,True,False,False,,88900,True,s01,16
definition_normal,,,,0,0,True,False,False,,,True,s11,False
sub-subject_small,,,,0,False,True,True,False,,,False,s05,False
definition_normal,,,,0,0,,False,False,,114300,False,s01,20
definition_normal,,,,0,False,,,False,,152400,True,s03,20
definition_normal,,,,0,False,True,,False,,139700,False,DefaultParagraphFont,False
definition_small,,,,0,False,,,False,,101600,False,DefaultParagraphFont,18
subject_normal,,,,0,False,True,True,False,,139700,False,DefaultParagraphFont,False
